ID;Latitude;Longitude
SRR2083509;43.20;-79.27
SRR2083504;43.20;-79.27
SRR2083231;43.20;-79.27
SRR2083230;43.21;-79.26
SRR2083227;43.20;-79.27
SRR2083225;43.26;-79.07
SRR2083224;43.22;-79.62
SRR2083223;42.86;-79.39
SRR2083222;42.87;-79.40
SRR2083221;42.87;-79.42
SRR2083220;42.87;-79.40
SRR2083219;42.87;-79.23
SRR2083218;42.87;-79.43
SRR2083217;43.20;-79.27
SRR2083216;43.26;-79.07
SRR2083215;43.22;-79.62
SRR2083214;42.87;-79.40
SRR2083213;42.87;-79.23
SRR2016484;44.90415;-93.190417
SRR2016482;44.90415;-93.190417
SRR1994395;31.27;120.26
SRR1972501;31.27;120.26
SRR1917538;40.968;-124.226
SRR1582517;40.013;116.385
SRR1582516;40.013;116.385
SRR1582515;40.013;116.385
SRR1582514;40.013;116.385
SRR1582512;40.014;116.380
SRR1582511;40.017;116.379
SRR1582510;40.017;116.379
SRR1582509;40.015;116.390
SRR1582508;40.013;116.388
SRR1582507;40.013;116.385
SRR1582506;40.012;116.383
SRR1582501;40.012;116.381
SRR1582500;40.012;116.381
SRR1581195;40.013;116.385
SRR1581191;40.013;116.385
SRR1581188;40.013;116.385
SRR1523359;33.049631;-117.291353
SRR1523356;33.049631;-117.291353
SRR1523360;33.049631;-117.291353
SRR1173877;38.5355;-0.2663
SRR1169884;44.3144;-91.996
SRR1169883;43.8567;-91.3033
SRR1169882;44.5669;-92.5377
SRR1169878;44.7488;-92.8057
SRR1169874;44.7458;-92.8502
SRR1169873;44.9179;-93.129
SRR1169871;44.8856;-93.1741
SRR1169870;44.9042;-93.1904
SRR1169861;45.4195;-94.0422
SRR1169860;45.5476;-94.1455
SRR1169859;47.3473;-95.1825
SRR1044925;44.917867;-93.128967
SRR1044924;44.917867;-93.128967
SRR1044687;44.917867;-93.128967
SRR1044686;44.917867;-93.128967
SRR1044685;44.917867;-93.128967
SRR1044684;44.917867;-93.128967
SRR1044683;44.917867;-93.128967
SRR1044682;44.917867;-93.128967
SRR1044681;44.917867;-93.128967
SRR1044679;44.917867;-93.128967
SRR1044678;44.917867;-93.128967
SRR1044677;44.917867;-93.128967
SRR1039498;44.917867;-93.128967
SRR1039496;44.917867;-93.128967
SRR1039494;44.917867;-93.128967
SRR1039491;44.917867;-93.128967
SRR1039490;44.917867;-93.128967
SRR1039488;44.917867;-93.128967
SRR1039486;44.917867;-93.128967
SRR1039484;44.917867;-93.128967
SRR1039483;44.917867;-93.128967
SRR1039482;44.917867;-93.128967
SRR1039480;44.917867;-93.128967
SRR1039479;44.917867;-93.128967
SRR1039478;44.917867;-93.128967
SRR947737;34.261117;-83.950069
SRR14576896;30.46;120.12
SRR14576897;30.46;120.13
SRR14576898;30.46;120.13
SRR14576899;30.46;120.12
SRR14576900;30.46;120.12
SRR14576901;30.46;120.12
SRR14576902;30.46;120.13
SRR14576903;30.46;120.13
SRR14576904;30.46;120.12
SRR14576905;30.46;120.12
SRR14576906;30.46;120.12
SRR14576907;30.46;120.12
SRR14576908;30.46;120.12
SRR14576909;30.46;120.12
SRR14576910;30.46;120.12
SRR14576911;30.46;120.12
SRR14576912;30.46;120.13
SRR14576913;30.46;120.13
SRR14576914;30.46;120.12
SRR14576915;30.46;120.12
SRR14576916;30.46;120.12
SRR14576917;30.46;120.12
SRR14576918;30.46;120.13
SRR14576919;30.46;120.13
SRR14576920;30.46;120.13
SRR14576921;30.46;120.12
SRR14576922;30.46;120.12
SRR14576923;30.46;120.12
SRR14576924;30.46;120.12
SRR14576925;30.46;120.13
SRR14576926;30.46;120.13
SRR14576927;30.46;120.12
SRR14576928;30.46;120.12
SRR14576929;30.46;120.12
SRR14576930;30.46;120.13
SRR14576931;30.46;120.12
SRR14371733;41.91;-83.21
SRR14371734;41.76;-83.32
SRR14333789;41.7025;-83.2547
SRR14333790;41.7025;-83.2547
SRR14333791;41.7343;-83.3023
SRR14333792;41.7343;-83.3023
SRR14333793;41.7404662744343;-83.2993922637013
SRR14332019;41.7752798990724;-83.3431548762416
SRR14332020;41.7636;-83.3306
SRR14332021;41.7636;-83.3306
SRR14332022;41.83262;-83.35813
SRR14332023;41.83262;-83.35813
SRR14332024;41.833835;-83.27891
SRR14332025;41.833835;-83.27891
SRR14332026;41.793906;-83.133142
SRR14332027;41.743940917389;-83.1359709171918
SRR14332028;41.793906;-83.133142
SRR14332029;41.7347;-83.3059
SRR14332030;41.7347;-83.3059
SRR14332031;41.7344;-83.3005
SRR14332032;41.7344;-83.3005
SRR14332033;41.7311;-83.2988
SRR14332034;41.7311;-83.2988
SRR14332035;41.8242;-83.3094
SRR14332036;41.8242;-83.3094
SRR14332037;41.8337;-83.1839
SRR14332038;41.7404662744343;-83.2993922637013
SRR14332039;41.8337;-83.1839
SRR14332040;41.7346;-83.2967
SRR14332041;41.7346;-83.2967
SRR14332042;41.7345;-83.3009
SRR14332043;41.7345;-83.3009
SRR14332044;41.739167;-83.302683
SRR14332045;41.739167;-83.302683
SRR14332046;41.740767;-83.30555
SRR14332047;41.740767;-83.30555
SRR14332049;41.7360136917041;-83.3035882160197
SRR14332050;41.7360136917041;-83.3035882160197
SRR14332051;41.7024861421279;-83.2553651217802
SRR14332052;41.7024861421279;-83.2553651217802
SRR14332053;41.7376466850762;-83.3029670351321
SRR14332054;41.7376466850762;-83.3029670351321
SRR14332055;41.7752798990724;-83.3431548762416
SRR14309022;41.740570017061;-83.3054293134153
SRR14308729;41.8343088900365;-83.2782487430434
SRR14308730;41.8500471819944;-83.1943278216303
SRR14308731;41.7307472759595;-83.2973403578518
SRR14308732;41.740570017061;-83.3054293134153
SRR14308733;41.8500471819944;-83.1943278216303
SRR14308734;41.7931672603972;-83.1326903256534
SRR14308735;41.7931672603972;-83.1326903256534
SRR14308736;41.7354287366086;-83.305168566954
SRR14308737;41.7354287366086;-83.305168566954
SRR14308738;41.7353919305416;-83.2984918812941
SRR14308740;41.743940917389;-83.1359709171918
SRR14308741;41.7038618714297;-83.2556191934697
SRR14308742;41.7038618714297;-83.2556191934697
SRR14308743;41.7368703958466;-83.3007964904881
SRR14308744;41.7368703958466;-83.3007964904881
SRR14308745;41.7356662663123;-83.2998509698307
SRR14308746;41.7356662663123;-83.2998509698307
SRR14308747;41.7427394681466;-83.1368766153367
SRR14308748;41.7427394681466;-83.1368766153367
SRR14308749;41.734946321248;-83.3002480999798
SRR14308750;41.7307472759595;-83.2973403578518
SRR14308751;41.734946321248;-83.3002480999798
SRR14308752;41.7345139358975;-83.3008948955596
SRR14308753;41.7345139358975;-83.3008948955596
SRR14308754;41.7734850688172;-83.3441027104068
SRR14308755;41.7734850688172;-83.3441027104068
SRR14308756;41.8338712604238;-83.3577684318652
SRR14308757;41.8338712604238;-83.3577684318652
SRR14308758;41.8343088900365;-83.2782487430434
SRR14307622;27.96;120.71
SRR14307623;27.95;120.70
SRR14307624;28.02;120.65
SRR14307625;28.01;120.65
SRR14307626;27.96;120.71
SRR14307627;27.95;120.70
SRR14307628;28.02;120.65
SRR14307629;28.01;120.65
SRR14288954;41.7987035209042;-83.3439342131621
SRR14288955;41.7987035209042;-83.3439342131621
SRR14288956;41.8037327182961;-83.3610608248073
SRR14288957;41.8037327182961;-83.3610608248073
SRR14288958;41.8238070415945;-83.3084699099299
SRR14288959;41.8238070415945;-83.3084699099299
SRR14288960;41.8338006012053;-83.1803171866043
SRR14288961;41.8338006012053;-83.1803171866043
SRR14288962;41.7353919305416;-83.2984918812941
SRR14288963;41.7307472759595;-83.2973403578518
SRR14288964;41.7307472759595;-83.2973403578518
SRR14288965;41.7344275476807;-83.2963171872718
SRR14288966;41.7344275476807;-83.2963171872718
SRR14240538;45.1366;-82.9833
SRR14240539;43.600;-86.916667
SRR14240540;43.5966;-78.801
SRR14240541;47.60;-86.81778
SRR14240542;42.51666;-79.8933
SRR14240543;42.1166;-81.2500
SRR13490363;42.711528;-86.705694
SRR13490370;42.711528;-86.705694
SRR13490378;42.690806;-86.253556
SRR13434395;38.923239;-106.950876
SRR13434396;38.923239;-106.950876
SRR13434397;38.923239;-106.950876
SRR13434398;38.923239;-106.950876
SRR13394436;34.99562;-98.68895
SRR13225447;39.52018;116.2053
SRR13225448;39.52072;116.2114
SRR13225449;39.52015;116.2125
SRR13225450;39.52089;116.2238
SRR13225451;39.52023;116.2278
SRR13225452;39.52048;116.2017
SRR13225453;39.52048;116.2017
SRR13225454;39.52098;116.2023
SRR13225455;39.52018;116.2053
SRR13225456;39.52072;116.2114
SRR13225457;39.52015;116.2125
SRR13225458;39.52089;116.2238
SRR13225459;39.52023;116.2278
SRR13225460;39.52048;116.2017
SRR13225461;39.52098;116.2023
SRR13225462;39.52098;116.2023
SRR13225463;39.52018;116.2053
SRR13225464;39.52072;116.2114
SRR13225465;39.52015;116.2125
SRR13225466;39.52089;116.2238
SRR13225467;39.52023;116.2278
SRR13225468;39.52048;116.2017
SRR13225469;39.52098;116.2023
SRR13225470;39.52018;116.2053
SRR13225471;39.52072;116.2114
SRR13225472;39.52015;116.2125
SRR13225473;39.52072;116.2114
SRR13225474;39.52089;116.2238
SRR13225475;39.52023;116.2278
SRR13225476;39.52048;116.2017
SRR13225477;39.52098;116.2023
SRR13225478;39.52018;116.2053
SRR13225479;39.52072;116.2114
SRR13225480;39.52089;116.2238
SRR13225481;39.52023;116.2278
SRR13225482;39.52048;116.2017
SRR13225483;39.52098;116.2023
SRR13225484;39.52089;116.2238
SRR13225485;39.52023;116.2278
SRR13224034;41.70;-83.07
SRR13224037;41.70;-83.07
SRR13224039;41.90;-83.22
SRR13224040;41.90;-83.22
SRR13224041;41.91;-83.21
SRR13224042;41.91;-83.20
SRR13224043;41.91;-83.20
SRR13224044;41.91;-83.20
SRR13224045;41.91;-83.20
SRR13224046;41.82;-83.21
SRR13224047;41.82;-83.21
SRR13224048;41.70;-83.07
SRR13224049;41.79;-83.23
SRR13224050;41.79;-83.23
SRR13224051;41.71;-83.27
SRR13224052;41.76;-83.32
SRR13224053;41.76;-83.32
SRR13224054;41.76;-83.32
SRR13224055;41.76;-83.30
SRR13224056;41.76;-83.30
SRR13224057;41.80;-83.37
SRR13224058;41.80;-83.37
SRR13224059;41.70;-83.07
SRR13224060;41.80;-83.36
SRR13224061;41.80;-83.36
SRR13224062;41.83;-83.35
SRR13224063;41.83;-83.35
SRR13224064;41.83;-83.35
SRR13224065;41.83;-83.35
SRR13224066;41.84;-83.19
SRR13224067;41.84;-83.19
SRR13224068;41.84;-83.17
SRR13224069;41.84;-83.17
SRR13224070;41.66;-83.10
SRR13224071;41.81;-83.26
SRR13224072;41.81;-83.26
SRR13224073;41.81;-83.26
SRR13224074;41.81;-83.26
SRR13224075;41.77;-83.34
SRR13224076;41.77;-83.34
SRR13224077;41.77;-83.33
SRR13224078;41.77;-83.33
SRR13224079;41.83;-83.35
SRR13224080;41.83;-83.35
SRR13224081;41.66;-83.10
SRR13224082;41.83;-83.33
SRR13224083;41.83;-83.33
SRR13224084;41.84;-83.24
SRR13224085;41.84;-83.24
SRR13224086;41.84;-83.24
SRR13224087;41.84;-83.24
SRR13224088;41.84;-83.24
SRR13224089;41.84;-83.24
SRR13224090;41.85;-83.19
SRR13224091;41.85;-83.19
SRR13224092;41.66;-83.10
SRR13224093;41.84;-83.26
SRR13224094;41.84;-83.26
SRR13224095;41.84;-83.26
SRR13224096;41.84;-83.26
SRR13224097;41.84;-83.26
SRR13224098;41.84;-83.26
SRR13224099;41.78;-83.16
SRR13224100;41.78;-83.16
SRR13224101;41.78;-83.16
SRR13224102;41.78;-83.16
SRR13224103;41.66;-83.10
SRR13224104;41.78;-83.15
SRR13224105;41.78;-83.15
SRR13224106;41.75;-83.13
SRR13224107;41.75;-83.13
SRR13224108;41.75;-83.13
SRR13224109;41.75;-83.13
SRR13224110;41.75;-83.12
SRR13224111;41.75;-83.12
SRR13224112;41.70;-83.07
SRR13224113;41.70;-83.07
SRR13163197;40.747596;-73.805517
SRR13163198;40.747596;-73.805517
ERR3856789;47.0925;8.4891
ERR3856788;47.0925;8.4891
ERR3856787;47.0925;8.4891
SRR13020435;37.2656;-118.2713
SRR13020431;37.2656;-118.2713
SRR12874343;43.17;-79.53
SRR12874344;43.17;-79.51
SRR12874345;43.17;-79.51
SRR12874346;43.17;-79.53
SRR12874347;43.17;-79.51
SRR12874348;43.17;-79.51
SRR12687952;36.4428;-116.8278
SRR12687782;36.4428;-116.8278
SRR12687664;36.4265;-116.3098
SRR12687606;36.4265;-116.3098
SRR12687343;36.4202;-116.323
SRR12687342;37.0233;-117.3845
SRR12687326;36.4202;-116.323
SRR12687280;36.4015;-116.2738
SRR12687059;36.4015;-116.2738
SRR12686701;37.0233;-117.3845
SRR12685683;46.87681;-91.22521
SRR12685684;46.87153;-91.10558
SRR12685685;46.89501;-91.09353
SRR12685686;46.94913;-91.10256
SRR12685687;46.9443;-90.99678
SRR12676966;49.66;-93.72
SRR12676967;49.66;-93.75
SRR12676971;49.70;-93.73
SRR12676968;49.74;-93.83
SRR12676969;49.69;-93.69
SRR12676970;49.69;-93.69
SRR12676972;49.69;-93.69
SRR12676973;49.69;-93.69
SRR12676974;49.69;-93.69
SRR12676975;49.69;-93.69
SRR12486991;37.304056;127.618611
SRR12486992;37.304056;127.618611
SRR12486994;37.304056;127.618611
SRR12486995;35.364169;127.146461
SRR12486997;35.364169;127.146461
SRR12486998;35.610764;126.850397
SRR12487000;35.610764;126.850397
SRR12487001;35.927978;128.311344
SRR12487002;37.141433;127.627100
SRR12487004;35.927978;128.311344
SRR12487005;36.408139;128.261722
SRR12487007;36.408139;128.261722
SRR12487008;35.880608;127.032675
SRR12487010;35.880608;127.032675
SRR12487011;35.921444;127.065972
SRR12487012;35.921444;127.065972
SRR12487015;35.921444;127.065972
SRR12487016;35.921444;127.065972
SRR12487017;35.921444;127.065972
SRR12487019;35.921444;127.065972
SRR12487020;35.921444;127.065972
SRR12487021;35.921444;127.065972
SRR12487023;35.921444;127.065972
SRR12487024;37.141433;127.627100
SRR12487025;36.461306;127.095889
SRR12487027;36.461306;127.095889
SRR12487028;36.766103;127.443383
SRR12487030;36.766103;127.443383
SRR12487031;36.766103;127.443383
SRR12487033;36.766103;127.443383
SRR12487034;37.806611;126.787083
SRR12487035;36.969389;127.894244
SRR12487037;37.806611;126.787083
SRR12487038;37.449944;127.658194
SRR12487040;37.449944;127.658194
SRR12487041;37.304056;127.618611
SRR12487043;37.304056;127.618611
SRR12487044;37.304056;127.618611
SRR12487047;36.969389;127.894244
SRR12274735;26.612750;80.275278
SRR12274736;29.956250;78.170889
SRR12274737;30.126500;78.353750
SRR12274738;30.145417;78.597667
SRR12274739;30.145389;78.598917
SRR12274740;30.147000;78.597611
SRR12274741;11.362944;77.742028
SRR12274742;12.426333;76.574611
SRR12274743;22.247705;76.147048
SRR12274744;22.763104;77.717161
SRR12274745;23.122590;79.818541
SRR12274746;22.700833;81.705278
SRR12274747;22.674661;81.758025
SRR12274748;26.885083;80.900783
SRR12274749;27.188717;80.802150
SRR12274750;27.350233;80.460250
SRR12274751;26.420361;80.422722
SRR12274752;12.384389;75.533250
SRR12274753;12.385389;75.491000
SRR12261223;43.099;-89.405
SRR12261224;43.099;-89.405
SRR12261225;43.099;-89.405
SRR12261226;43.099;-89.405
SRR12261227;43.099;-89.405
SRR12053438;51.97525;105.34712
SRR12053439;51.97525;105.34712
SRR12053440;51.780108;104.91655
SRR12053441;51.780108;104.91655
SRR12053442;51.780108;104.91655
SRR12053443;51.780108;104.91655
SRR12042536;49.69;-93.69
SRR12042537;49.69;-93.69
SRR11430612;47.744011;9.15217
SRR11430613;44.0228;1.459364
SRR11430614;42.775875;-0.261183
SRR11430615;41.497325;0.512892
SRR11430616;37.048097;-3.368361
SRR11430617;46.965417;10.9448
SRR10688474;49.13;16.63
SRR10599098;31;117
SRR10599099;31;117
SRR10599100;31;117
SRR10599101;31;117
SRR10599102;31;117
SRR10599103;31;117
SRR10599104;31;117
SRR10599105;31;117
SRR10599106;31;117
SRR10599107;31;117
SRR10599108;31;117
SRR10599109;31;117
SRR10599110;31;117
SRR10599111;31;117
SRR10599112;31;117
SRR10599113;31;117
SRR10492803;36.78;100.00
SRR10132616;40.02722;116.3567
SRR10132617;40.02694;116.3528
SRR10132618;40.02639;116.3489
SRR10132619;40.02778;116.3606
SRR10132620;40.02972;116.3722
SRR10132621;40.02917;116.3681
SRR10132623;40.02833;116.3642
SRR10132624;40.02722;116.3567
SRR10132625;40.02694;116.3528
SRR10132626;40.02639;116.3489
SRR10132627;40.02778;116.3606
SRR10132628;40.02972;116.3722
SRR10132629;40.02917;116.3681
SRR10132630;40.02833;116.3642
SRR10132631;40.02722;116.3567
SRR10132632;40.02694;116.3528
SRR10132635;40.02639;116.3489
SRR10132636;40.02778;116.3606
SRR10132637;40.02972;116.3722
SRR10132638;40.02917;116.3681
SRR10132639;40.02833;116.3642
SRR10132640;40.02722;116.3567
SRR10132641;40.02694;116.3528
SRR10132642;40.02639;116.3489
SRR10132643;40.02778;116.3606
SRR10132644;40.02972;116.3722
SRR10132646;40.02917;116.3681
SRR10132647;40.02833;116.3642
SRR10132648;40.02722;116.3567
SRR10132649;40.02694;116.3528
SRR10132650;40.02778;116.3606
SRR10132651;40.02917;116.3681
SRR10132652;40.02833;116.3642
SRR10132653;40.02722;116.3567
SRR10132654;40.02694;116.3528
SRR10132655;40.02917;116.3681
SRR10132657;40.02833;116.3642
SRR10132658;39.90611;116.5347
SRR10132659;39.90667;116.5303
SRR10132660;39.90722;116.5253
SRR10132661;39.90528;116.5400
SRR10132662;39.90639;116.5525
SRR10132663;39.90556;116.5478
SRR10132664;39.90583;116.5436
SRR10132665;39.90611;116.5347
SRR10132666;39.90667;116.5303
SRR10132668;39.90722;116.5253
SRR10132669;39.90528;116.5400
SRR10132670;39.90639;116.5525
SRR10132671;39.90556;116.5478
SRR10132672;39.90583;116.5436
SRR10132673;39.90611;116.5347
SRR10132674;39.90667;116.5303
SRR10132675;39.90722;116.5253
SRR10132676;39.90528;116.5400
SRR10132677;39.90639;116.5525
SRR10132679;39.90556;116.5478
SRR10132680;39.90583;116.5436
SRR10132681;39.90611;116.5347
SRR10132682;39.90667;116.5303
SRR10132683;39.90722;116.5253
SRR10132684;39.90528;116.5400
SRR10132685;39.90639;116.5525
SRR10132686;39.90556;116.5478
SRR10132687;39.90583;116.5436
SRR10132688;39.90611;116.5347
SRR10132690;39.90667;116.5303
SRR10132691;39.90722;116.5253
SRR10132692;39.90528;116.5400
SRR10132693;39.90639;116.5525
SRR10132694;39.90556;116.5478
SRR10132695;39.90583;116.5436
SRR10132696;39.90611;116.5347
SRR10132697;39.90667;116.5303
SRR10132698;39.90528;116.5400
SRR10132699;39.90556;116.5478
SRR10132701;39.90583;116.5436
SRR10131203;-20.0;-43.8
SRR10129838;40.37;115.79
SRR10129839;39.99;116.30
SRR10069935;-6.4021;-50.351
SRR10066347;81.0294;-81.6440
SRR10066348;81.0294;-81.6440
SRR10066349;81.0294;-81.6440
SRR10066350;81.0294;-81.6440
SRR10066351;81.0294;-81.6440
SRR10066352;81.0294;-81.6440
SRR10066353;81.0294;-81.6440
SRR10066354;81.0294;-81.6440
SRR10066355;81.0294;-81.6440
SRR10036018;38.943062;-94.593613
SRR10036019;38.903159;-94.578199
SRR10036020;38.903159;-94.578199
SRR10036021;39.119258;-94.476065
SRR10036022;39.119258;-94.476065
SRR10036023;39.119258;-94.476065
SRR10036024;39.119097;-94.489562
SRR10036025;38.939143;-94.561442
SRR10036026;39.119097;-94.489562
SRR10036027;39.119097;-94.489562
SRR10036028;39.087112;-94.49946
SRR10036029;39.087112;-94.49946
SRR10036030;39.087112;-94.49946
SRR10036031;39.017381;-94.521087
SRR10036032;39.017381;-94.521087
SRR10036033;39.017381;-94.521087
SRR10036034;38.943062;-94.593613
SRR10036035;38.943062;-94.593613
SRR10036036;38.939143;-94.561442
SRR10036037;38.932129;-94.61322
SRR10036038;38.932129;-94.61322
SRR10036039;38.932129;-94.61322
SRR10036040;38.93085;-94.631627
SRR10036041;38.93085;-94.631627
SRR10036042;38.93085;-94.631627
SRR10036043;38.922873;-94.625833
SRR10036044;38.922873;-94.625833
SRR10036045;38.922873;-94.625833
SRR10036046;38.956451;-94.560134
SRR10036047;38.9002091;-94.6489961
SRR10036048;38.9002091;-94.6489961
SRR10036049;38.9002091;-94.6489961
SRR10036050;38.942513;-94.737143
SRR10036051;38.942513;-94.737143
SRR10036052;38.942513;-94.737143
SRR10036053;38.900837;-94.739828
SRR10036054;38.900837;-94.739828
SRR10036055;38.900837;-94.739828
SRR10036056;38.93288;-94.69652
SRR10036057;38.956451;-94.560134
SRR10036058;38.93288;-94.69652
SRR10036059;38.93288;-94.69652
SRR10036060;38.92075;-94.699529
SRR10036061;38.92075;-94.699529
SRR10036062;38.92075;-94.699529
SRR10036063;38.925804;-94.697055
SRR10036064;38.925804;-94.697055
SRR10036065;38.925804;-94.697055
SRR10036066;38.857594;-94.7882
SRR10036067;38.857594;-94.7882
SRR10036068;38.956451;-94.560134
SRR10036069;38.857594;-94.7882
SRR10036070;38.818864;-94.778833
SRR10036071;38.818864;-94.778833
SRR10036072;38.818864;-94.778833
SRR10036073;38.813318;-94.670967
SRR10036074;38.813318;-94.670967
SRR10036075;38.813318;-94.670967
SRR10036076;38.842448;-94.612554
SRR10036077;38.842448;-94.612554
SRR10036078;38.842448;-94.612554
SRR10036079;38.952958;-94.563948
SRR10036080;38.854923;-94.615853
SRR10036081;38.854923;-94.615853
SRR10036082;38.854923;-94.615853
SRR10036083;38.891412;-94.583257
SRR10036084;38.891412;-94.583257
SRR10036085;38.891412;-94.583257
SRR10036086;38.939143;-94.561442
SRR10036087;38.939143;-94.561442
SRR10036088;38.939143;-94.561442
SRR10036089;38.903159;-94.578199
SRR10036090;38.952958;-94.563948
SRR10036091;38.952958;-94.563948
SRR9658105;42.39651;-85.40936
SRR9658106;42.39651;-85.40936
SRR9658107;42.76324;-84.405
SRR9658109;42.39651;-85.40936
SRR9658110;42.39651;-85.40936
SRR9658111;42.39651;-85.40936
SRR9658112;42.39651;-85.40936
SRR9658113;42.41803;-85.44348
SRR9658114;42.41803;-85.44348
SRR9658115;42.41803;-85.44348
SRR9658116;42.35212;-85.38545
SRR9658117;42.76324;-84.405
SRR9658118;42.76324;-84.405
SRR9658119;42.76324;-84.405
SRR9658120;42.76324;-84.405
SRR9658121;42.39651;-85.40936
SRR9658122;42.39757;-85.38536
SRR9658123;42.39757;-85.38536
SRR9658124;42.39757;-85.38536
SRR9658125;42.39757;-85.38536
SRR9658126;42.39757;-85.38536
SRR9658127;42.39757;-85.38536
SRR9658128;42.56518;-85.61352
